終値,始値,高値,安値,出来高,MA_5,MA_20,Volatility,PriceRange,変化率 %,DayOfWeek,Month
0.11725906925613777,0.11560693641618497,0.11521895190236894,0.11961722488038277,0.14944652545646953,0.11511058334570289,0.1124968867942602,0.04178684252011817,0.025531914893616777,0.5783704786262331,4,7
0.11432759252473434,0.11560693641618497,0.11486001435750179,0.11777695988222305,0.09223455898409286,0.11585275345109099,0.11310994884763492,0.028935810381891726,0.0425531914893617,0.49360613810741694,0,7
0.11762550384756318,0.11235549132947975,0.11593682699210336,0.11740890688259105,0.1657064149295349,0.11696600860917321,0.11399122554936109,0.024805575601483276,0.05957446808510662,0.5896967482645232,1,7
0.11909124221326492,0.11271676300578035,0.11629576453697052,0.11740890688259105,0.13232156954966154,0.11785661273563904,0.11462344579190376,0.032588049610989045,0.06382978723404255,0.5608330288637194,2,7
0.11506046170758522,0.11741329479768786,0.11665470208183776,0.11851306588148695,0.1508827037105471,0.11793082974617784,0.11489166044025517,0.03117421572182675,0.05531914893617009,0.4771647789550603,3,7
0.11909124221326492,0.11271676300578035,0.11629576453697052,0.11777695988222305,0.23818722389263097,0.11830191479887188,0.11533229879111828,0.03621319949175868,0.05957446808510602,0.6010230179028133,4,7
0.12532063026749726,0.11885838150289019,0.12275664034458003,0.12403386087596614,0.2200376261905162,0.12052842511503635,0.11627105006034832,0.0631024500574422,0.06382978723404255,0.6335403726708075,0,7
0.12788567240747528,0.12499999999999997,0.12742282842785355,0.13029076186970923,0.3040750508121546,0.12260650141012323,0.11724811770791421,0.08795757335708175,0.04680851063829823,0.576543660942638,1,7
0.12532063026749726,0.12608381502890176,0.124551328068916,0.12845049687154947,0.20796029093108026,0.12386819058928304,0.11811023622047245,0.08947728486482207,0.03404255319148985,0.5009134088417976,2,7
0.12605349945034813,0.1246387283236994,0.124551328068916,0.12845049687154947,0.1484050862546823,0.12609470090544755,0.11868498189551122,0.055180207376548156,0.03404255319148985,0.5495067592254294,3,7
0.12568706485892267,0.1235549132947977,0.1234745154343144,0.12808244387191753,0.1166243931936909,0.12743060709514625,0.11939383489472574,0.015791725491687773,0.025531914893616777,0.5330654000730728,4,7
0.13118358373030412,0.12608381502890176,0.1277817659727207,0.1310268678689731,0.22608469252347438,0.12861807926376728,0.12050500986646742,0.03943278851499587,0.0425531914893617,0.6200219218122032,1,7
0.12971784536460243,0.12716763005780346,0.12814070351758794,0.13213102686786893,0.2713621016914988,0.1289891643164614,0.1215778684598732,0.043804068887517415,0.03404255319148985,0.5173547679941543,2,7
0.1249541956760718,0.1282514450867052,0.1270638908829863,0.12808244387191753,0.2594947340130684,0.1289149473059225,0.12243998697243139,0.04522962079618567,0.06808510638297847,0.46912678114724154,3,7
0.12605349945034813,0.12391618497109824,0.1234745154343144,0.12845049687154947,0.18353686190852134,0.1289149473059225,0.12337873824166143,0.04522962079618567,0.02127659574468085,0.5549872122762148,4,7
0.12385489190179552,0.1235549132947977,0.12203876525484564,0.1269782848730217,0.28731123914467604,0.12854386225322845,0.12416422399754776,0.05217568724799262,0.02127659574468085,0.5060284983558642,0,7
0.1330157566874313,0.1246387283236994,0.13029432878679106,0.12955465587044535,0.31113836023717933,0.1289149473059225,0.12533287353679332,0.06316447516117196,0.08936170212765933,0.6751918158567776,1,7
0.13008427995602787,0.1282514450867052,0.12742282842785355,0.131762973868237,0.28668133640165955,0.1289891643164614,0.1262716248060233,0.0641490694099888,0.02978723404255331,0.4965290464011692,2,7
